time	cusn	quan	pric	totr	tots	dayw	date	type	ethn	size	cash	estb	qual	loct	stor	phon
620	43	180	0.85	6570	6470	4	423	w	a	m	c	s	3	2	1	0
625	44	60	0.85	3940	4118	3	422	w	s	s	c	s	1	1	1	0
815	45	240	0.5	15940	15455	5	424	w	a	m	c	sf	2			0
725	46	240	0.75	10700	10494	2	421	w	a	s	c	s	3		1	0
355	47	120	0.6	15940	15455	5	424	w	a	m	c		3			0
550	48	180	1	1460	670	4	416	kw	a		0	s	1	1	1	0
	49	150	0.5	1610	6260	1	504	w			c					0
530	50	100	0.25	11370	8520	5	501	w	s	lm	0	s	5		1	0
540	50	100	0.35	7694	9050	4	430	w	s	lm	0	s	4		1	0
610	50	130	0.75	11875	9655	4	416	w	s	m	0	s	1		1	0
645	51	100	0.85	6570	6470	4	423	w	a	l	c	s	3	2	1	0
645	51	360	0.85	6570	6470	4	423	w	a	m	c	s	3	2	1	0
735	51	240	0.75	10700	10494	2	421	w	a	s	c	s	3	2	1	0
455	52	600	0.75	7049	5535	1	413	w	a	m	c	s	3		1	0
705	53	60	0.85	3940	4118	3	422	w	a	s	c	sf	1	1		0
710	53	50	1.25	2305	1450	3	506	w	a	m	c	sf	3	1		0
630	54	100	0.25	11370	8520	5	501	w	a	m	c	s	4	1	1	0
630	54	120	0.3	1610	6260	1	504	w	a	m	c	s	5	1	1	0
616	55	50	1.25	6080	4780	4	507	w	a	m	0	s	3	1	1	0
730	55	60	0.75	11875	9655	4	416	w	a	m	0	s	1	1	1	0
500	56	400	0.35	7694	9050	4	430	w	a	lm	c		4			0
530	56	500	0.25	1610	6260	1	504	w	a	m	c		5			0
525	57	400	0.85	7049	5535	1	413	w	a	l	c	s	3	1	1	0
531	57	360	0.85	6570	6470	4	423	w	a	m	c	s	3	1	1	0
545	57	350	0.35	7694	9050	4	430	w	a	l	c	s	5	1	1	0
545	57	60	0.5	7694	9050	4	430	w	a	m	c	s	2	1	1	0
545	57	100	0.6	7694	9050	4	430	w	a	m	c	s	1	1	1	0
450	58	60	0.75	85	149	1	504	kw	a		c		5			0
500	59	60	1.1	390	230	1	427	kw	a		0	s	3	2	1	0
525	59	120	1	985	540	2	421	kw	a		c	s	3	2	1	0
616	59	60	1	1460	670	4	416	kw	a		c	s	3	2	1	0
625	60	100	1.25	2305	1450	3	506	w	b	m	c	s	3	1	1	0
	61	60	1.5	875	1050	4	507	kw			c		3			0
715	62	500	0.4	7694	9050	4	430	w	a	lm	c	s	4	1	1	0
731	63	100	0.75	3900	6050	5	417	w	a	m	c	f	4		0	0
735	63	120	0.5	15940	15455	5	424	w	a	m	c	f	2		0	0
817	64	150	0.75	2390	945	5	424	kw	a		c	s	2	1	1	0
620	65	60	0.85	6570	6470	4	423	w	a	m	c	s	3		1	0
630	65	60	0.75	7049	5535	1	413	w	a	m	c	s	3		1	0
650	65	60	0.75	10700	10494	2	421	w	a	s	c	f	3		0	0
701	65	50	0.3	7694	9050	4	430	w	a	lm	c	s	5		1	0
550	66	60	0.9	1320	1290	2	505	w	s	m	0	s	3		1	0
600	66	60	0.6	15940	15455	5	424	w	s	m	0	s	2		1	0
	67	135	0.95	2100	1825	5	501	kw	a		c	s		1	1	0
615	67	50	1	1625	1376	5	417	kw	a		c	s	3	1	1	0
730	68	50	0.75	990	1700	4	423	kw	b		c		5			0
707	69	60	0.75	10700	10494	2	421	w	a	s	c	s	3		1	0
	70	20	0.6	11370	8520	5	501	w			c					0
725	70	50	0.85	1625	1376	5	417	kw			c		5			0
530	71	100	0.9	1625	1376	5	417	kw	s		c	s	5	2	1	0
615	72	60	0.85	3900	6050	5	417	w	b	m	c	f	2	1	0	0
545	73	50	0.65	1676	3300	2	428	w	s	m	c	s	1	1	1	0
650	74	300	0.85	3900	6050	5	417	w	a	m	c	s	2	2	1	0
445	75	60	2	120	170	5	508	kw	s		c	s	3	1	1	0
415	76	29	1.1	85	149	1	504	kw	s		c	s	1	1	1	0
420	76	60	0.75	10700	10494	2	421	w	s	m	c	s	1	1	1	0
435	76	60	0.65	1610	6260	1	504	w	s	m	c	s	3	1	1	0
425	76	120	0.9	2100	1825	5	501	kw	s		0	s	1	1	1	0
445	76	60	1.1	1460	670	4	416	kw	s		c	s	3	1	1	0
450	76	60	1	985	540	2	421	kw	s		c	s	3	1	1	0
450	76	60	1.25	990	1700	4	423	kw	s		c	s	3	1	1	0
456	76	60	1.1	2390	945	5	424	kw	s		c	s	1	1	1	0
505	77	60	0.75	10700	10494	2	421	w	s	m	c	f	1		0	0
520	78	700	1.65	4020	3420	5	508	w	a	m	c	f	3	1	0	0
600	78	300	0.5	15940	15455	5	424	w	a	m	c	f	2	1	0	0
600	78	600	0.5	15940	15455	5	424	w	a	m	c	f	3	1	0	0
600	78	300	0.5	15940	15455	5	424	w	a	m	c	f	3	1	0	0
600	78	600	0.65	15940	15455	5	424	w	a	lm	c	f	3	1	0	0
600	78	600	0.65	15940	15455	5	424	w	a	lm	c	f	3	1	0	0
611	78	480	0.85	6570	6470	4	423	w	a	m	c	f	3	1	0	0
615	78	1000	0.4	6963	5785	3	429	w	a	l	c	f	3	1	0	0
615	78	120	0.85	6570	6470	4	423	w	a	m	c	f	3	1	0	0
615	78	200	0.85	6570	6470	4	423	w	a	m	c	f	1	1	0	0
630	78	480	0.5	1676	3300	2	428	w	a	m	c	f	3	1	0	0
630	78	190	0.6	360	490	3	415	w	a	m	c	f	4	1	0	0
630	78	480	0.5	1676	3300	2	428	w	a	m	c	f	1	1	0	0
645	78	300	0.6	7049	5535	1	413	w	a	m	c	f	3	1	0	0
645	78	120	0.6	200	2260	2	414	w	a	m	c	f	3	1	0	0
645	78	740	0.6	11875	9655	4	416	w	a	m	c	f	1	1	0	0
655	78	1500	0.75	3900	6050	5	417	w	a	m	c	f	2	1	0	0
700	78	600	0.35	11370	8520	5	501	w	a	m	c	f	3	1	0	0
700	78	300	0.25	11370	8520	5	501	w	a	m	c	f	4	1	0	0
700	78	1100	0.3	11370	8520	5	501	w	a	lm	c	f	4	1	0	0
645	78	65	1	1460	670	4	416	kw	a		c	f	3	1	0	0
435	79	180	0.4	11370	8520	5	501	w	s	m		s	3	2	1	0
550	79	120	2	4020	3420	5	508	w	s	m		s	3	2	1	0
845	80	300	0.35	11370	8520	5	501	w	s	m	c	s	3	1	1	0
330	80	120	1.25	990	1700	4	423	kw	s		c	s	1	1	1	0
840	80	300	0.6	2390	945	5	424	kw	s		c	s	3	1	1	0
440	81	500	0.4	11370	8520	5	501	w	a	m	c	s	4	2	1	0
445	81	480	0.85	6570	6470	4	423	w	a	m	c	s	3	2	1	0
520	81	240	0.5	6963	5785	3	429	w	a	m	c	s	3	2	1	0
622	81	120	0.75	11875	9655	4	416	w	a	m	c	s	1	2	1	0
635	81	300	0.75	3900	6050	5	417	w	a	s	c	s	1	2	1	0
441	81	100	1.1	990	1700	4	423	kw	a		c	s	3	2	1	0
441	81	120	1.25	990	1700	4	423	kw	a		c	s	1	2	1	0
520	81	180	0.9	1182	480	3	429	kw	a		c	s	1	2	1	0
345	81	480	0.75	11875	9655	4	416	w	a	m	c	s	1	2	1	0
700	82	500	0.75	3900	6050	5	417	w	a	m	c	fd	2	2		0
430	83	300	0.6	1676	3300	2	428	w	b	m	c	s	1	2	1	0
431	83	50	0.6	1676	3300	2	428	w	b	m	c	s	3	2	1	0
428	84	180	0.4	11370	8520	5	501	w	a	m	c	s	3	1	1	0
530	84	180	0.65	8160	5060	1	427	w	a	m	c	s	3	1	1	0
535	84	300	0.25	11370	8520	5	501	w	a	m	c	s	4	1	1	0
620	84	180	0.75	11875	9655	4	416	w	a	m	c	s	1	1	1	0
620	84	180	0.25	1610	6260	1	504	w	a	m	c	s	5	1	1	0
700	85	60	0.75	1625	1376	5	417	kw	a		c	s	5	1	1	0
746	85	60	0.75	1182	480	3	429	kw	a		c	s	1	1	1	0
800	85	60	0.85	985	540	2	421	kw	a		c	s	3	1	1	0
610	86	50	1.25	2305	1450	3	506	w	a	m	c	s	3	1	1	0
610	87	50	1.25	6080	4780	4	507	w	a	m	c	s	3	1	1	0
429	88	50	0.75	2100	1825	5	501	kw	s		c	s	5		1	0
710	89	300	0.6	2390	945	5	424	kw	s		0		4			0
741	90	60	0.6	8160	5060	1	427	w	s	m	c	s	3	1	1	0
815	90	60	0.5	1676	3300	2	428	w	s	m	c	s	3	1	1	0
835	90	150	0.35	6963	5785	3	429	w	s	lm	c	s	3	1	1	0
720	90	600	0.4	990	1700	4	423	kw	s		c	s	5	1	1	0
650	91	50	1.25	6080	4780	4	507	w	s	m	c	s	3	1	1	0
545	92	600	0.55	15940	15455	5	424	w	a	m	c	sf	3	2		0
556	92	240	1.25	6080	4780	4	507	w	a	m	c	sf	3	2		0
602	92	600	0.4	7694	9050	4	430	w	a	lm	c	sf	4	2		0
611	92	200	0.25	11370	8520	5	501	w	a	m	c	sf	4	2		0
715	93	280	0.9	1320	1290	2	505	w	a	m	c	s	3	2	1	0
425	94	300	1.25	6080	4780	4	507	w	a	m	c	s	3	1	1	0
730	95	180	0.75	10700	10494	2	421	w	a	s	c	s	3	2	1	0
602	96	660	0.75	10700	10494	2	421	w	a	s	c	s	3		1	0
540	96	120	1.25	220	170	2	505	kw	a		c	s	1		1	0
815	97	200	0.65	200	2260	2	414	w	s	m	0	s	3		1	0
701	98	400	1.25	6080	4780	4	507	w	a	m	c	s	3		1	0
312	98	400	1.35	875	1050	4	507	kw	a		c	s	3		1	0
650	99	600	1.25	6080	4780	4	507	w	a	m	c	s	3	1	1	0
800	99	600	0.25	11370	8520	5	501	w	a	m	c	s	1	1	1	0
845	99	300	0.43	15940	15455	5	424	w	a	m	c	s	2	1	1	0
845	99	250	0.43	15940	15455	5	424	w	a	m	c	s	1	1	1	0
845	99	400	0.43	15940	15455	5	424	w	a	lm	c	s	3	1	1	0
845	99	180	0.43	15940	15455	5	424	w	a	m	c	s	3	1	1	0
900	99	600	0.4	15940	15455	5	424	w	a	lm	c	s	3	1	1	0
623	100	300	0.25	11370	8520	5	501	w	a	m	c	s	4		1	0
655	101	120	0.6	8160	5060	1	427	w	a	m	c		3			0
615	102	60	1.25	6080	4780	4	507	w	a	m	c	s	3	1	1	0
655	102	100	0.4	6963	5785	3	429	w	a	l	c	s	3	1	1	0
540	103	50	1.1	3940	4118	3	422	w	s	lm	c	s	1		1	0
542	104	300	0.25	11370	8520	5	501	w	a	m	c		4			0
600	104	120	0.65	15940	15455	5	424	w	a	m	c		2			0
635	105	100	1.25	2305	1450	3	506	w	a	m	c	f	3	1	0	0
630	106	600	0.85	3940	4118	3	422	w	a	s	c	s	1	1	1	0
420	107	120	0.85	360	490	3	415	w	s	m	c	sf	2	1		0
544	107	180	0.6	15940	15455	5	424	w	s	m	c	sf	3	1		0
545	107	180	0.85	6570	6470	4	423	w	s	m	c	sf	3	1		0
555	107	180	0.75	11875	9655	4	416	w	s	m	c	sf	1	1		0
